Dates,Import,Export,Production
2016-06-28,418.03278688524586,4736.213114754099,2731.967213114754
2016-06-29,393.6885245901639,4181.475409836065,2621.311475409836
2016-06-30,369.34426229508193,3626.7377049180327,2510.655737704918
2016-07-01,345.0,3072.0,2400.0
2016-07-02,558.9891304347826,3906.75,3092.3695652173915
2016-07-03,772.9782608695652,4741.5,3784.739130434783
2016-07-04,986.967391304348,5576.250000000001,4477.108695652174
2016-07-05,1200.9565217391305,6411.000000000001,5169.478260869566
2016-07-06,1414.9456521739132,7245.750000000001,5861.847826086957
2016-07-07,1628.934782608696,8080.500000000002,6554.217391304348
2016-07-08,1842.9239130434783,8915.25,7246.58695652174
2016-07-09,2056.913043478261,9750.000000000002,7938.956521739131
2016-07-10,2270.9021739130435,10584.75,8631.326086956522
2016-07-11,2484.8913043478265,11419.500000000002,9323.695652173914
2016-07-12,2698.880434782609,12254.250000000002,10016.065217391306
2016-07-13,2912.869565217392,13089.000000000004,10708.434782608696
2016-07-14,3126.8586956521744,13923.75,11400.804347826088
2016-07-15,3340.8478260869565,14758.5,12093.173913043478
2016-07-16,3554.836956521739,15593.25,12785.54347826087
2016-07-17,3768.826086956522,16428.000000000004,13477.913043478262
2016-07-18,3982.8152173913045,17262.75,14170.282608695652
2016-07-19,4196.804347826087,18097.5,14862.652173913044
2016-07-20,4410.79347826087,18932.250000000004,15555.021739130436
2016-07-21,4624.782608695653,19767.000000000004,16247.391304347828
2016-07-22,4838.771739130435,20601.75,16939.76086956522
2016-07-23,5052.760869565218,21436.5,17632.13043478261
2016-07-24,5266.75,22271.25,18324.5
2016-07-25,5480.739130434784,23106.000000000007,19016.869565217392
2016-07-26,5694.728260869566,23940.750000000004,19709.239130434784
2016-07-27,5908.717391304349,24775.5,20401.608695652176
2016-07-28,6122.706521739131,25610.250000000004,21093.978260869568
2016-07-29,6336.695652173913,26445.0,21786.347826086956
2016-07-30,6550.684782608696,27279.75,22478.717391304348
2016-07-31,6764.673913043478,28114.5,23171.08695652174
2016-08-01,6978.663043478262,28949.250000000004,23863.456521739135
2016-08-02,7192.652173913044,29784.000000000004,24555.826086956524
2016-08-03,7406.641304347827,30618.750000000004,25248.195652173916
2016-08-04,7620.630434782609,31453.5,25940.565217391304
2016-08-05,7834.619565217392,32288.250000000004,26632.9347826087
2016-08-06,8048.608695652174,33123.0,27325.304347826088
2016-08-07,8262.597826086958,33957.75000000001,28017.673913043483
2016-08-08,8476.58695652174,34792.50000000001,28710.04347826087
2016-08-09,8690.576086956522,35627.25000000001,29402.413043478264
2016-08-10,8904.565217391306,36462.00000000001,30094.782608695656
2016-08-11,9118.554347826088,37296.75,30787.152173913048
2016-08-12,9332.54347826087,38131.5,31479.521739130436
2016-08-13,9546.532608695652,38966.25,32171.891304347828
2016-08-14,9760.521739130436,39801.00000000001,32864.26086956522
2016-08-15,9974.510869565218,40635.75,33556.630434782615
2016-08-16,10188.5,41470.5,34249.0
2016-08-17,10402.489130434784,42305.25000000001,34941.3695652174
2016-08-18,10616.478260869568,43140.000000000015,35633.739130434784
2016-08-19,10830.467391304348,43974.75,36326.108695652176
2016-08-20,11044.456521739132,44809.50000000001,37018.47826086957
2016-08-21,11258.445652173914,45644.25000000001,37710.84782608696
2016-08-22,11472.434782608698,46479.0,38403.21739130435
2016-08-23,11686.423913043478,47313.75,39095.586956521736
2016-08-24,11900.413043478262,48148.50000000001,39787.956521739135
2016-08-25,12114.402173913046,48983.25000000001,40480.32608695653
2016-08-26,12328.391304347826,49818.0,41172.69565217391
2016-08-27,12542.38043478261,50652.75000000001,41865.06521739131
2016-08-28,12756.369565217392,51487.5,42557.434782608696
2016-08-29,12970.358695652176,52322.25000000001,43249.804347826095
2016-08-30,13184.347826086956,53157.0,43942.17391304348
2016-08-31,13398.33695652174,53991.75000000001,44634.54347826087
2016-09-01,13612.326086956524,54826.50000000001,45326.91304347827
2016-09-02,13826.315217391306,55661.25000000001,46019.282608695656
2016-09-03,14040.304347826088,56496.00000000001,46711.65217391305
2016-09-04,14254.29347826087,57330.75,47404.02173913044
2016-09-05,14468.282608695654,58165.50000000001,48096.39130434783
2016-09-06,14682.271739130438,59000.250000000015,48788.76086956523
2016-09-07,14896.260869565218,59835.0,49481.13043478261
2016-09-08,15110.250000000002,60669.75000000001,50173.50000000001
2016-09-09,15324.239130434784,61504.50000000001,50865.8695652174
2016-09-10,15538.228260869568,62339.25000000001,51558.239130434784
2016-09-11,15752.217391304348,63174.0,52250.608695652176
2016-09-12,15966.206521739132,64008.75000000001,52942.97826086957
2016-09-13,16180.195652173916,64843.500000000015,53635.34782608697
2016-09-14,16394.1847826087,65678.25,54327.71739130435
2016-09-15,16608.17391304348,66513.00000000001,55020.08695652174
2016-09-16,16822.163043478264,67347.75,55712.456521739135
2016-09-17,17036.152173913044,68182.50000000001,56404.82608695653
2016-09-18,17250.141304347828,69017.25000000001,57097.19565217391
2016-09-19,17464.13043478261,69852.00000000001,57789.56521739131
2016-09-20,17678.119565217396,70686.75,58481.9347826087
2016-09-21,17892.108695652176,71521.5,59174.304347826095
2016-09-22,18106.09782608696,72356.25,59866.67391304349
2016-09-23,18320.08695652174,73191.0,60559.04347826087
2016-09-24,18534.076086956524,74025.75000000001,61251.41304347827
2016-09-25,18748.065217391304,74860.5,61943.782608695656
2016-09-26,18962.054347826088,75695.25000000001,62636.15217391305
2016-09-27,19176.04347826087,76530.00000000001,63328.52173913045
2016-09-28,19390.032608695652,77364.75,64020.89130434783
2016-09-29,19604.021739130436,78199.5,64713.26086956523
2016-09-30,19818.01086956522,79034.25,65405.63043478261
2016-10-01,20032.0,79869.0,66098.0
2016-10-02,20003.12131715771,79786.57885615251,66009.78856152513
2016-10-03,19974.242634315426,79704.15771230502,65921.57712305027
2016-10-04,19945.363951473137,79621.73656845755,65833.36568457539
2016-10-05,19916.485268630848,79539.31542461005,65745.15424610052
2016-10-06,19887.60658578856,79456.89428076256,65656.94280762564
2016-10-07,19858.727902946273,79374.47313691508,65568.73136915079
2016-10-08,19829.849220103984,79292.0519930676,65480.51993067591
2016-10-09,19800.9705372617,79209.6308492201,65392.30849220104
2016-10-10,19772.09185441941,79127.20970537262,65304.097053726175
2016-10-11,19743.213171577125,79044.78856152513,65215.8856152513
2016-10-12,19714.334488734836,78962.36741767764,65127.67417677643
2016-10-13,19685.455805892547,78879.94627383015,65039.462738301554
2016-10-14,19656.577123050258,78797.52512998266,64951.25129982669
2016-10-15,19627.698440207972,78715.10398613517,64863.03986135182
