Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Japan,2015,Total,Male,30,Census - de jure - complete tabulation,"Final figure, complete",2017,709122,1
Japan,2015,Total,Male,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",2017,3684747,1
Japan,2015,Total,Male,30 - 34,Estimate - de jure,"Final figure, complete",2016,3730000,"1,2,4"
Japan,2015,Total,Male,31,Census - de jure - complete tabulation,"Final figure, complete",2017,732061,1
Japan,2015,Total,Male,32,Census - de jure - complete tabulation,"Final figure, complete",2017,744101,1
Japan,2015,Total,Male,33,Census - de jure - complete tabulation,"Final figure, complete",2017,744738,1
Japan,2015,Total,Male,34,Census - de jure - complete tabulation,"Final figure, complete",2017,754725,1
Japan,2015,Total,Male,35,Census - de jure - complete tabulation,"Final figure, complete",2017,787195,1
Japan,2015,Total,Male,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",2017,4204202,1
Japan,2015,Total,Male,35 - 39,Estimate - de jure,"Final figure, complete",2016,4266000,"1,2,4"
Japan,2015,Total,Male,36,Census - de jure - complete tabulation,"Final figure, complete",2017,808838,1
Japan,2015,Total,Male,37,Census - de jure - complete tabulation,"Final figure, complete",2017,840265,1
Japan,2015,Total,Male,38,Census - de jure - complete tabulation,"Final figure, complete",2017,863248,1
Japan,2015,Total,Male,39,Census - de jure - complete tabulation,"Final figure, complete",2017,904656,1
Japan,2015,Total,Male,40,Census - de jure - complete tabulation,"Final figure, complete",2017,944154,1
